site,veg_type,exp,location,soil_moisture,pH,plot_Id,unique_plotID,unique_sampID,treatment,myc_assoc,isolate,isolate_myc,mel_status,harvest_date,mass_remaining ,mt.mo,incub_period.days,incub_period.wks,relative_period.months,incub_period.years,notes
cedar creek,Prairie,CC_praire1,initial,NA,NA,initial,initial,inititial_7,AM_grass,AM,Ceno,AM_ceno,melanized ,7/25/17,100,1,0,0,0,0,
cedar creek,Prairie,CC_praire1,initial,NA,NA,initial,initial,inititial_10,EM_forb,EM,Ceno,EM_Ceno,melanized ,7/25/17,100,1,0,0,0,0,
cedar creek,Prairie,CC_praire1,initial,NA,NA,initial,initial,inititial_13,AM_grass,AM,Mort,AM_Mort,non-melanized,7/25/17,100,1,0,0,0,0,
cedar creek,Prairie,CC_praire1,initial,NA,NA,initial,initial,inititial_14,EM_forb,EM,Mort,EM_Mort,non-melanized,7/25/17,100,1,0,0,0,0,
cedar creek,Prairie,CC_praire2,initial,NA,NA,initial,initial,inititial_11,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/18/17,100,1,0,0,0,0,
cedar creek,Prairie,CC_praire2,initial,NA,NA,initial,initial,inititial_12,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/18/17,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_17,AM_grass,AM,Mel_Black,AM_MB,melanized ,,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_18,EM_tree,EM,Mel_Black,EM_MB,melanized ,,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_19,forest_grassland,mixed,Mel_Black,Mix_MB,melanized ,,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_20,AM_grass,AM,Mel_White,AM_MW,non-melanized,,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_23,AM_grass,AM,Mort,AM_Mort,non-melanized,,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_21,EM_tree,EM,Mel_White,EM_MW,non-melanized,,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_24,EM_tree,EM,Mort,EM_Mort,non-melanized,,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_22,forest_grassland,mixed,Mel_White,Mix_MW,non-melanized,,100,1,0,0,0,0,
cedar creek,Oak Savanna,CC_savanna,initial,NA,NA,initial,initial,inititial_25,forest_grassland,mixed,Mort,Mix_Mort,non-melanized,,100,1,0,0,0,0,
moores creek,Forest,MC_forest,initial,NA,NA,initial,initial,inititial_3,AM_tree,AM,Mel_Black,AM_MB,melanized ,7/14/17,100,1,0,0,0,0,
moores creek,Forest,MC_forest,initial,NA,NA,initial,initial,inititial_2,EM_tree,EM,Mel_Black,EM_MB,melanized ,7/14/17,100,1,0,0,0,0,
moores creek,Forest,MC_forest,initial,NA,NA,initial,initial,inititial_6,AM_tree,AM,Mort,AM_Mort,non-melanized,7/14/17,100,1,0,0,0,0,
moores creek,Forest,MC_forest,initial,NA,NA,initial,initial,inititial_5,EM_tree,EM,Mort,EM_Mort,non-melanized,7/14/17,100,1,0,0,0,0,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_15,AM_grass,AM,Ceno,AM_ceno,melanized ,7/25/17,42.08333333,0.420833333,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_30,AM_grass,AM,Ceno,AM_ceno,melanized ,7/25/17,60,0.6,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_45,AM_grass,AM,Ceno,AM_ceno,melanized ,7/25/17,49.23076923,0.492307692,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_57,AM_grass,AM,Ceno,AM_ceno,melanized ,7/25/17,38.4,0.384,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_16,EM_forb,EM,Ceno,EM_Ceno,melanized ,7/25/17,52.5,0.525,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_25,EM_forb,EM,Ceno,EM_Ceno,melanized ,7/25/17,26.4,0.264,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_41,EM_forb,EM,Ceno,EM_Ceno,melanized ,7/25/17,33.84615385,0.338461538,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_60,EM_forb,EM,Ceno,EM_Ceno,melanized ,7/25/17,48.33333333,0.483333333,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_10,AM_grass,AM,Mort,AM_Mort,non-melanized,7/25/17,28.8,0.288,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_31,AM_grass,AM,Mort,AM_Mort,non-melanized,7/25/17,74.16666667,0.741666667,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_42,AM_grass,AM,Mort,AM_Mort,non-melanized,7/25/17,34,0.34,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_61,AM_grass,AM,Mort,AM_Mort,non-melanized,7/25/17,78.4,0.784,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_8,EM_forb,EM,Mort,EM_Mort,non-melanized,7/25/17,28.33333333,0.283333333,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_28,EM_forb,EM,Mort,EM_Mort,non-melanized,7/25/17,43.2,0.432,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_39,EM_forb,EM,Mort,EM_Mort,non-melanized,7/25/17,27.91666667,0.279166667,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_59,EM_forb,EM,Mort,EM_Mort,non-melanized,7/25/17,47.2,0.472,7,1,0.233333333,0.019178082,
cedar creek,Prairie,CC_praire2,field_0,16.73333333,4.925,1,22, CCP2_65,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,21.25984252,0.212598425,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,17.16666667,4.8075,1,23, CCP2_66,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,21.37096774,0.213709677,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,16.8,4.5215,1,24, CCP2_67,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,23.46153846,0.234615385,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,13.7,4.6285,2,27, CCP2_100,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,26.4,0.264,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,15.93333333,4.697,2,26, CCP2_101,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,28.35249042,0.283524904,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,13.2,4.843,2,25, CCP2_103,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,29.52755906,0.295275591,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.7905,3,28, CCP2_136,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,22.89156627,0.228915663,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,13.2,4.9675,3,29, CCP2_140,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,29.92125984,0.299212598,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,10.23333333,4.971,3,30, CCP2_164,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,11.23333333,4.815,4,33, CCP2_170,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,19.04761905,0.19047619,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.13333333,4.6605,4,31, CCP2_175,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,25.78125,0.2578125,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.529,4,32, CCP2_193,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,14.83333333,5.102,5,34, CCP2_209,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,22.00772201,0.22007722,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.5195,5,35, CCP2_230,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,12.43333333,5.0665,5,36, CCP2_236,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.36666667,5.0165,6,37, CCP2_243,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,17.2,0.172,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,16.23333333,4.7215,6,38, CCP2_263,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,12.3,4.9555,6,39, CCP2_269,AM_grass,AM,Ceno,AM_ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,16.73333333,4.925,1,22, CCP2_77,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,49.80079681,0.498007968,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,16.8,4.5215,1,24, CCP2_79,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,54.50980392,0.545098039,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,15.93333333,4.697,2,26, CCP2_107,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,42.7480916,0.427480916,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,13.2,4.843,2,25, CCP2_111,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,46.33204633,0.463320463,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,13.7,4.6285,2,27, CCP2_112,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,50.19455253,0.501945525,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,13.2,4.9675,3,29, CCP2_147,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,41.96078431,0.419607843,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.7905,3,28, CCP2_150,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,53.1496063,0.531496063,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,10.23333333,4.971,3,30, CCP2_166,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.13333333,4.6605,4,31, CCP2_183,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,53.44129555,0.534412955,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.529,4,32, CCP2_195,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,11.23333333,4.815,4,33, CCP2_201,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,14.83333333,5.102,5,34, CCP2_222,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,56.52173913,0.565217391,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.5195,5,35, CCP2_232,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,12.43333333,5.0665,5,36, CCP2_238,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.36666667,5.0165,6,37, CCP2_254,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,45.12195122,0.451219512,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,16.23333333,4.7215,6,38, CCP2_265,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,12.3,4.9555,6,39, CCP2_272,AM_grass,AM,Mel_Black,AM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,16.53333333,4.9025,1,22, CCP2_63,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,18.75,0.1875,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,14.73333333,4.6835,1,23, CCP2_64,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,21.09375,0.2109375,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,16.63333333,4.376,1,24, CCP2_69,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,31.29770992,0.312977099,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,13.66666667,4.9545,2,27, CCP2_98,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,18.3908046,0.183908046,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.93333333,4.903,2,25, CCP2_99,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,24.31372549,0.243137255,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,12.9,4.724,2,26, CCP2_102,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,29.27756654,0.292775665,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.8985,3,28, CCP2_135,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,21.56862745,0.215686275,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,12.9,5.6155,3,29, CCP2_143,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,33.203125,0.33203125,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,10.53333333,5.3395,3,30, CCP2_165,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.9,5.354,4,31, CCP2_174,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,24.61538462,0.246153846,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,9.833333333,4.86,4,33, CCP2_176,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,26.05363985,0.260536398,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.668,4,32, CCP2_194,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.36666667,5.3,5,34, CCP2_215,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,29.64426877,0.296442688,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.6525,5,35, CCP2_231,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,11.46666667,5.501,5,36, CCP2_237,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.56666667,4.812,6,37, CCP2_255,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,45.81673307,0.458167331,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,13.26666667,4.606,6,38, CCP2_264,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,7.133333333,4.737,6,39, CCP2_270,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,16.53333333,4.9025,1,22, CCP2_71,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,37.69230769,0.376923077,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,16.63333333,4.376,1,24, CCP2_76,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,46.692607,0.46692607,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,14.73333333,4.6835,1,23, CCP2_78,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,50,0.5,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,12.9,4.724,2,26, CCP2_106,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,42.30769231,0.423076923,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,13.66666667,4.9545,2,27, CCP2_114,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,55.42635659,0.554263566,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.93333333,4.903,2,25, CCP2_115,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,58.17490494,0.581749049,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,12.9,5.6155,3,29, CCP2_142,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,32.17054264,0.321705426,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.8985,3,28, CCP2_151,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,56.640625,0.56640625,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,10.53333333,5.3395,3,30, CCP2_167,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.9,5.354,4,31, CCP2_184,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,56.2992126,0.562992126,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,9.833333333,4.86,4,33, CCP2_186,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,63.2,0.632,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.668,4,32, CCP2_196,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.36666667,5.3,5,34, CCP2_223,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,77.13178295,0.771317829,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.6525,5,35, CCP2_233,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,11.46666667,5.501,5,36, CCP2_239,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.56666667,4.812,6,37, CCP2_256,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,61.8852459,0.618852459,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,13.26666667,4.606,6,38, CCP2_266,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,7.133333333,4.737,6,39, CCP2_273,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,16.8,4.5215,1,24, CCP2_68,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,30.26819923,0.302681992,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,16.73333333,4.925,1,22, CCP2_72,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,39.35742972,0.393574297,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,17.16666667,4.8075,1,23, CCP2_74,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,44.70588235,0.447058824,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,13.7,4.6285,2,27, CCP2_108,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,42.85714286,0.428571429,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,15.93333333,4.697,2,26, CCP2_109,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,43.62934363,0.436293436,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,13.2,4.843,2,25, CCP2_110,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,46.18473896,0.46184739,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.7905,3,28, CCP2_145,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,39.54372624,0.395437262,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,13.2,4.9675,3,29, CCP2_148,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,43.41085271,0.434108527,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,10.23333333,4.971,3,30, CCP2_168,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.13333333,4.6605,4,31, CCP2_179,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,40.16064257,0.401606426,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,11.23333333,4.815,4,33, CCP2_182,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,50,0.5,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.529,4,32, CCP2_197,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,14.83333333,5.102,5,34, CCP2_220,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,40.15444015,0.401544402,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.5195,5,35, CCP2_234,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,12.43333333,5.0665,5,36, CCP2_240,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
