site,veg_type,exp,location,soil_moisture,pH,plot_Id,unique_plotID,unique_sampID,treatment,myc_assoc,isolate,isolate_myc,mel_status,harvest_date,mass_remaining ,mt.mo,incub_period.days,incub_period.wks,relative_period.months,incub_period.years,notes
cedar creek,Prairie,CC_praire2,field_0,12.36666667,5.0165,6,37, CCP2_251,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,38.73517787,0.387351779,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,16.23333333,4.7215,6,38, CCP2_267,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,12.3,4.9555,6,39, CCP2_275,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,16.63333333,4.376,1,24, CCP2_70,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,37.20930233,0.372093023,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,16.53333333,4.9025,1,22, CCP2_73,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,43.79844961,0.437984496,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,14.73333333,4.6835,1,23, CCP2_75,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,45.88235294,0.458823529,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,12.9,4.724,2,26, CCP2_104,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,31.2,0.312,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,13.66666667,4.9545,2,27, CCP2_105,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,40.234375,0.40234375,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.93333333,4.903,2,25, CCP2_113,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,50.57034221,0.505703422,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,12.9,5.6155,3,29, CCP2_146,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,40.85603113,0.408560311,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.8985,3,28, CCP2_149,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,44.88188976,0.448818898,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,10.53333333,5.3395,3,30, CCP2_169,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,9.833333333,4.86,4,33, CCP2_180,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,41.37931034,0.413793103,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.9,5.354,4,31, CCP2_185,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,56.2992126,0.562992126,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.668,4,32, CCP2_198,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.36666667,5.3,5,34, CCP2_219,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,38.18897638,0.381889764,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.6525,5,35, CCP2_235,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,11.46666667,5.501,5,36, CCP2_241,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.56666667,4.812,6,37, CCP2_249,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,29.296875,0.29296875,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,13.26666667,4.606,6,38, CCP2_268,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,7.133333333,4.737,6,39, CCP2_276,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_12,AM_grass,AM,Ceno,AM_ceno,melanized ,8/1/17,34.61538462,0.346153846,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_29,AM_grass,AM,Ceno,AM_ceno,melanized ,8/1/17,51.25,0.5125,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_43,AM_grass,AM,Ceno,AM_ceno,melanized ,8/1/17,35.6,0.356,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_54,AM_grass,AM,Ceno,AM_ceno,melanized ,8/1/17,24.8,0.248,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_13,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/1/17,35,0.35,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_27,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/1/17,30.4,0.304,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_34,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/1/17,20.38461538,0.203846154,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_58,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/1/17,42.5,0.425,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_11,AM_grass,AM,Mort,AM_Mort,non-melanized,8/1/17,28.8,0.288,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_23,AM_grass,AM,Mort,AM_Mort,non-melanized,8/1/17,26,0.26,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_36,AM_grass,AM,Mort,AM_Mort,non-melanized,8/1/17,26.8,0.268,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_55,AM_grass,AM,Mort,AM_Mort,non-melanized,8/1/17,29.2,0.292,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_14,EM_forb,EM,Mort,EM_Mort,non-melanized,8/1/17,41.53846154,0.415384615,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_17,EM_forb,EM,Mort,EM_Mort,non-melanized,8/1/17,17.5,0.175,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_40,EM_forb,EM,Mort,EM_Mort,non-melanized,8/1/17,29.23076923,0.292307692,14,2,0.466666667,0.038356164,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_47,EM_forb,EM,Mort,EM_Mort,non-melanized,8/1/17,18.33333333,0.183333333,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,9.595020767,5.5,Oak_1,15,CCSav_313,AM_grass,AM,Mel_Black,AM_MB,melanized ,,49.58333333,0.495833333,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,10.89403234,5.035,Oak_2,16,CCSav_349,AM_grass,AM,Mel_Black,AM_MB,melanized ,,46.2962963,0.462962963,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,7.687178126,5.215,Oak_3,17,CCSav_385,AM_grass,AM,Mel_Black,AM_MB,melanized ,,59.6,0.596,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,11.06129214,4.3,Oak_1,15,CCSav_312,EM_tree,EM,Mel_Black,EM_MB,melanized ,,37.6,0.376,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,8.367395464,4.67,Oak_2,16,CCSav_348,EM_tree,EM,Mel_Black,EM_MB,melanized ,,41.15384615,0.411538462,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,13.57058806,4.05,Oak_3,17,CCSav_384,EM_tree,EM,Mel_Black,EM_MB,melanized ,,57.39130435,0.573913043,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,7.921294392,5.565,Oak_1,15,CCSav_303,forest_grassland,mixed,Mel_Black,Mix_MB,melanized ,,23.84615385,0.238461538,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,8.748146731,4.375,Oak_2,16,CCSav_347,forest_grassland,mixed,Mel_Black,Mix_MB,melanized ,,39.16666667,0.391666667,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,11.49136151,4.265,Oak_3,17,CCSav_383,forest_grassland,mixed,Mel_Black,Mix_MB,melanized ,,48.14814815,0.481481481,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,9.595020767,5.5,Oak_1,15,CCSav_310,AM_grass,AM,Mel_White,AM_MW,non-melanized,,31.11111111,0.311111111,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,10.89403234,5.035,Oak_2,16,CCSav_337,AM_grass,AM,Mel_White,AM_MW,non-melanized,,23.46153846,0.234615385,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,7.687178126,5.215,Oak_3,17,CCSav_372,AM_grass,AM,Mel_White,AM_MW,non-melanized,,30.37037037,0.303703704,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,9.595020767,5.5,Oak_1,15,CCSav_301,AM_grass,AM,Mort,AM_Mort,non-melanized,,23.33333333,0.233333333,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,10.89403234,5.035,Oak_2,16,CCSav_336,AM_grass,AM,Mort,AM_Mort,non-melanized,,23.2,0.232,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,7.687178126,5.215,Oak_3,17,CCSav_369,AM_grass,AM,Mort,AM_Mort,non-melanized,,28.07692308,0.280769231,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,11.06129214,4.3,Oak_1,15,CCSav_309,EM_tree,EM,Mel_White,EM_MW,non-melanized,,30.41666667,0.304166667,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,8.367395464,4.67,Oak_2,16,CCSav_344,EM_tree,EM,Mel_White,EM_MW,non-melanized,,29.23076923,0.292307692,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,13.57058806,4.05,Oak_3,17,CCSav_375,EM_tree,EM,Mel_White,EM_MW,non-melanized,,31.85185185,0.318518519,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,11.06129214,4.3,Oak_1,15,CCSav_307,EM_tree,EM,Mort,EM_Mort,non-melanized,,25.833333,0.25833333,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,8.367395464,4.67,Oak_2,16,CCSav_343,EM_tree,EM,Mort,EM_Mort,non-melanized,,28.8,0.288,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,13.57058806,4.05,Oak_3,17,CCSav_374,EM_tree,EM,Mort,EM_Mort,non-melanized,,31.6,0.316,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,7.921294392,5.565,Oak_1,15,CCSav_308,forest_grassland,mixed,Mel_White,Mix_MW,non-melanized,,25.83333333,0.258333333,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,8.748146731,4.375,Oak_2,16,CCSav_346,forest_grassland,mixed,Mel_White,Mix_MW,non-melanized,,32.4,0.324,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,11.49136151,4.265,Oak_3,17,CCSav_377,forest_grassland,mixed,Mel_White,Mix_MW,non-melanized,,32.8,0.328,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,7.921294392,5.565,Oak_1,15,CCSav_299,forest_grassland,mixed,Mort,Mix_Mort,non-melanized,,21.2,0.212,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,8.748146731,4.375,Oak_2,16,CCSav_340,forest_grassland,mixed,Mort,Mix_Mort,non-melanized,,26,0.26,14,2,0.466666667,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,11.49136151,4.265,Oak_3,17,CCSav_358,forest_grassland,mixed,Mort,Mix_Mort,non-melanized,,18.07692308,0.180769231,14,2,0.466666667,0.038356164,
moores creek,Forest,MC_forest,AM_2,2.547871471,NA,2,2,MCFor_402,AM_tree,AM,Mel_Black,AM_MB,melanized ,7/27/17,45.98994494,0.459899449,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_3,8.04566346,NA,3,4,MCFor_409,AM_tree,AM,Mel_Black,AM_MB,melanized ,7/27/17,41.78478106,0.417847811,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_4,NA,NA,4,5,MCFor_421,AM_tree,AM,Mel_Black,AM_MB,melanized ,7/27/17,NA,NA,14,2,0.466666667,0.052830189,hole in lbag
moores creek,Forest,MC_forest,AM_5,9.695610144,NA,5,7,MCFor_432,AM_tree,AM,Mel_Black,AM_MB,melanized ,7/27/17,57.72898906,0.577289891,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_6,8.451010714,NA,6,9,MCFor_444,AM_tree,AM,Mel_Black,AM_MB,melanized ,7/27/17,39.56217298,0.39562173,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_7,9.641434669,NA,7,11,MCFor_457,AM_tree,AM,Mel_Black,AM_MB,melanized ,7/27/17,53.43544176,0.534354418,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_8,8.972430755,NA,8,13,MCFor_467,AM_tree,AM,Mel_Black,AM_MB,melanized ,7/27/17,50.08610568,0.500861057,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_1,5.88332705,NA,1,1,MCFor_391,EM_tree,EM,Mel_Black,EM_MB,melanized ,7/27/17,55.70857055,0.557085705,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_2,6.006227826,NA,2,3,MCFor_403,EM_tree,EM,Mel_Black,EM_MB,melanized ,7/27/17,48.50553071,0.485055307,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_4,7.994160577,NA,4,6,MCFor_420,EM_tree,EM,Mel_Black,EM_MB,melanized ,7/27/17,58.50310875,0.585031087,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_5,5.674933699,NA,5,8,MCFor_433,EM_tree,EM,Mel_Black,EM_MB,melanized ,7/27/17,58.52006657,0.585200666,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_6,8.811572386,NA,6,10,MCFor_445,EM_tree,EM,Mel_Black,EM_MB,melanized ,7/27/17,53.51869982,0.535186998,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_7,5.808594642,NA,7,12,MCFor_456,EM_tree,EM,Mel_Black,EM_MB,melanized ,7/27/17,50.22328549,0.502232855,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_8,9.237023291,NA,8,14,MCFor_468,EM_tree,EM,Mel_Black,EM_MB,melanized ,7/27/17,52.10639484,0.521063948,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_2,2.547871471,NA,2,2,MCFor_396,AM_tree,AM,Mort,AM_Mort,non-melanized,7/27/17,20.08993217,0.200899322,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_3,8.04566346,NA,3,4,MCFor_407,AM_tree,AM,Mort,AM_Mort,non-melanized,7/27/17,25.73049425,0.257304942,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_4,NA,NA,4,5,MCFor_416,AM_tree,AM,Mort,AM_Mort,non-melanized,7/27/17,26.16360228,0.261636023,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_5,9.695610144,NA,5,7,MCFor_429,AM_tree,AM,Mort,AM_Mort,non-melanized,7/27/17,26.9752405,0.269752405,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_6,8.451010714,NA,6,9,MCFor_439,AM_tree,AM,Mort,AM_Mort,non-melanized,7/27/17,14.22580774,0.142258077,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_7,9.641434669,NA,7,11,MCFor_450,AM_tree,AM,Mort,AM_Mort,non-melanized,7/27/17,19.04780595,0.19047806,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,AM_8,8.972430755,NA,8,13,MCFor_460,AM_tree,AM,Mort,AM_Mort,non-melanized,7/27/17,14.40118708,0.144011871,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_1,5.88332705,NA,1,1,MCFor_390,EM_tree,EM,Mort,EM_Mort,non-melanized,7/27/17,32.48963648,0.324896365,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_2,6.006227826,NA,2,3,MCFor_399,EM_tree,EM,Mort,EM_Mort,non-melanized,7/27/17,28.17127769,0.281712777,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_4,7.994160577,NA,4,6,MCFor_415,EM_tree,EM,Mort,EM_Mort,non-melanized,7/27/17,25.18291713,0.251829171,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_5,5.674933699,NA,5,8,MCFor_428,EM_tree,EM,Mort,EM_Mort,non-melanized,7/27/17,24.22097979,0.242209798,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_6,8.811572386,NA,6,10,MCFor_442,EM_tree,EM,Mort,EM_Mort,non-melanized,7/27/17,25.94448577,0.259444858,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_7,5.808594642,NA,7,12,MCFor_447,EM_tree,EM,Mort,EM_Mort,non-melanized,7/27/17,9.020517255,0.090205173,14,2,0.466666667,0.052830189,
moores creek,Forest,MC_forest,EM_8,9.237023291,NA,8,14,MCFor_462,EM_tree,EM,Mort,EM_Mort,non-melanized,7/27/17,19.72986972,0.197298697,14,2,0.466666667,0.052830189,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_5,AM_grass,AM,Ceno,AM_ceno,melanized ,8/8/17,23.33333333,0.233333333,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_22,AM_grass,AM,Ceno,AM_ceno,melanized ,8/8/17,26,0.26,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_38,AM_grass,AM,Ceno,AM_ceno,melanized ,8/8/17,27.6,0.276,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_52,AM_grass,AM,Ceno,AM_ceno,melanized ,8/8/17,24.61538462,0.246153846,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_9,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/8/17,28.46153846,0.284615385,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_20,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/8/17,21.15384615,0.211538462,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_33,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/8/17,16.92307692,0.169230769,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_49,EM_forb,EM,Ceno,EM_Ceno,melanized ,8/8/17,22.30769231,0.223076923,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_7,AM_grass,AM,Mort,AM_Mort,non-melanized,8/8/17,27.69230769,0.276923077,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_26,AM_grass,AM,Mort,AM_Mort,non-melanized,8/8/17,27.6,0.276,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_37,AM_grass,AM,Mort,AM_Mort,non-melanized,8/8/17,27.5,0.275,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_53,AM_grass,AM,Mort,AM_Mort,non-melanized,8/8/17,24.61538462,0.246153846,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,1,18,CCP1_2,EM_forb,EM,Mort,EM_Mort,non-melanized,8/8/17,17.69230769,0.176923077,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,2,19,CCP1_21,EM_forb,EM,Mort,EM_Mort,non-melanized,8/8/17,21.6,0.216,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,3,20,CCP1_44,EM_forb,EM,Mort,EM_Mort,non-melanized,8/8/17,48.4,0.484,21,3,0.7,0.057534247,
cedar creek,Prairie,CC_praire1,field_5,NA,NA,4,21,CCP1_48,EM_forb,EM,Mort,EM_Mort,non-melanized,8/8/17,21.6,0.216,21,3,0.7,0.057534247,
cedar creek,Oak Savanna,CC_savanna,transect_20m,14.46724863,5.5,Oak_1,15,CCSav_305,AM_grass,AM,Mel_Black,AM_MB,melanized ,,24.44444444,0.244444444,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,13.25310614,5.035,Oak_2,16,CCSav_342,AM_grass,AM,Mel_Black,AM_MB,melanized ,,28.46153846,0.284615385,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,11.73112918,5.215,Oak_3,17,CCSav_378,AM_grass,AM,Mel_Black,AM_MB,melanized ,,32.91666667,0.329166667,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,8.487875225,4.3,Oak_1,15,CCSav_297,EM_tree,EM,Mel_Black,EM_MB,melanized ,,20.8,0.208,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,16.04376198,4.67,Oak_2,16,CCSav_339,EM_tree,EM,Mel_Black,EM_MB,melanized ,,23.7037037,0.237037037,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,13.41496388,4.05,Oak_3,17,CCSav_382,EM_tree,EM,Mel_Black,EM_MB,melanized ,,43.47826087,0.434782609,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,12.23158644,5.565,Oak_1,15,CCSav_302,forest_grassland,mixed,Mel_Black,Mix_MB,melanized ,,23.33333333,0.233333333,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,12.75083693,4.375,Oak_2,16,CCSav_333,forest_grassland,mixed,Mel_Black,Mix_MB,melanized ,,21.53846154,0.215384615,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,12.08803086,4.265,Oak_3,17,CCSav_380,forest_grassland,mixed,Mel_Black,Mix_MB,melanized ,,34.28571429,0.342857143,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,14.46724863,5.5,Oak_1,15,CCSav_298,AM_grass,AM,Mel_White,AM_MW,non-melanized,,20.8,0.208,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,13.25310614,5.035,Oak_2,16,CCSav_316,AM_grass,AM,Mel_White,AM_MW,non-melanized,,12,0.12,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,11.73112918,5.215,Oak_3,17,CCSav_367,AM_grass,AM,Mel_White,AM_MW,non-melanized,,24.58333333,0.245833333,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,14.46724863,5.5,Oak_1,15,CCSav_304,AM_grass,AM,Mort,AM_Mort,non-melanized,,24.4,0.244,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,13.25310614,5.035,Oak_2,16,CCSav_324,AM_grass,AM,Mort,AM_Mort,non-melanized,,18,0.18,28,4,0.933333333,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,11.73112918,5.215,Oak_3,17,CCSav_366,AM_grass,AM,Mort,AM_Mort,non-melanized,,23.75,0.2375,28,4,0.933333333,0.076712329,
